TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2024,2,11,22,5,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2024,1,8,0,0,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2024,1,18,12,5,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2024,1,16,1,40,10XX CANADA PL,Central Business District,491434.1768,5459565.0465
Break and Enter Commercial,2024,2,11,16,56,10XX HAMILTON ST,Central Business District,491198.2577,5458147.9956
Break and Enter Commercial,2024,1,4,15,7,10XX HORNBY ST,Central Business District,490833.289,5458565.0539
Break and Enter Commercial,2024,2,14,8,14,10XX HOWE ST,Central Business District,490889.5958,5458482.8579
Break and Enter Commercial,2024,1,24,4,57,10XX MARINASIDE CRES,Central Business District,491414.5679,5457873.0238
Break and Enter Commercial,2024,1,26,16,22,10XX MARINASIDE CRES,Central Business District,491545.474,5457835.8202
Break and Enter Commercial,2024,1,8,1,0,11XX BARCLAY ST,West End,490751.7991,5458971.3788
Break and Enter Commercial,2024,2,19,9,56,11XX BIDWELL ST,West End,489821.5559,5459300.1997
Break and Enter Commercial,2024,1,27,4,8,11XX COMMERCIAL DR,Grandview-Woodland,494936.1012,5457953.2832
Break and Enter Commercial,2024,1,31,4,30,11XX DAVIE ST,West End,490449.3018,5458647.8008
Break and Enter Commercial,2024,1,9,3,45,11XX E GEORGIA ST,Strathcona,494131.3232,5458384.7868
Break and Enter Commercial,2024,3,4,7,3,11XX HOWE ST,Central Business District,490775.0164,5458366.5794
Break and Enter Commercial,2024,1,10,7,0,11XX PACIFIC ST,West End,490221.3405,5458405.5505
Break and Enter Commercial,2024,2,19,7,21,11XX PENDRELL ST,West End,490439.7327,5458801.3692
Break and Enter Commercial,2024,1,16,15,19,11XX RICHARDS ST,Central Business District,491064.4841,5458243.068
Break and Enter Commercial,2024,2,27,11,29,11XX W GEORGIA ST,West End,490902.7314,5459360.5997
Break and Enter Commercial,2024,2,19,22,0,11XX W GEORGIA ST,Central Business District,490915.2728,5459361.0787
Break and Enter Commercial,2024,2,3,11,31,11XX W GEORGIA ST,Central Business District,490952.0114,5459324.8748
Break and Enter Commercial,2024,1,27,22,24,12XX E 7TH AVE,Mount Pleasant,494285.2755,5456838.7178
